epsilon,m,n,iterations,predicted_iterations,percent_of_predicted,gap,primal_value,dual_value,mu,lipschitz,operator_norm,converged,elapsed_seconds,mu_mode,stages
0.01,100,100,765,1842,41.530944625407166,0.00999621995751138,-0.01582845465337472,-0.0258246746108861,0.0010857362047581294,920.959128738127,0.9999593337598722,True,0.09819860000061453,fixed,1
0.01,100,300,934,2051,45.53876157971721,0.009967178043434034,-0.046217631485833126,-0.05618480952926716,0.0010857362047581294,921.0179026388101,0.9999912410243172,True,0.3853529999978491,fixed,1
0.01,100,1000,1108,2257,49.091714665485156,0.009990102893364605,-0.0921704252508174,-0.102160528144182,0.0010857362047581294,921.0259289580376,0.9999955982856776,True,1.7354106999991927,fixed,1
0.01,100,3000,1187,2429,48.867846850555786,0.009995936444213455,-0.12096428871840875,-0.1309602251626222,0.0010857362047581294,921.0335461533638,0.9999997334277018,True,9.908067100001062,fixed,1
0.01,100,10000,1281,2606,49.15579432079816,0.009960010713501555,-0.14477081345267945,-0.154730824166181,0.0010857362047581294,921.0336076909698,0.9999997668345135,True,49.07624189999842,fixed,1
0.01,300,100,690,2050,33.65853658536585,0.00999730820446778,0.06561024624937539,0.05561293804490761,0.0008766112701907305,1140.6875205096997,0.9999697676653643,True,0.06791169999996782,fixed,1
0.01,300,300,910,2282,39.877300613496935,0.009988739126924093,0.0024103737748761983,-0.0075783653520478935,0.0008766112701907305,1140.633713534888,0.9999461827739471,True,0.15366240000003017,fixed,1
0.01,300,1000,1126,2511,44.84269215452011,0.009993392193880193,-0.031323578219162,-0.04131697041304219,0.0008766112701907305,1140.7413782388376,0.9999933742465856,True,0.6912365000025602,fixed,1
0.01,300,3000,1268,2704,46.89349112426036,0.009974559826730615,-0.04762025222916582,-0.057594812055896435,0.0008766112701907305,1140.7557669654093,0.9999996809284233,True,3.65697530000034,fixed,1
0.01,300,10000,1475,2900,50.86206896551724,0.009985840240306673,-0.06579318413543489,-0.07577902437574156,0.0008766112701907305,1140.7562849274457,0.9999999079541493,True,25.547751599999174,fixed,1
0.01,1000,100,761,2257,33.71732388125831,0.009986243747407073,0.09678346412117839,0.08679722037377131,0.0007238241365054198,1381.538576114944,0.9999954834424636,True,0.08904279999842402,fixed,1
0.01,1000,300,873,2511,34.76702508960574,0.009962374203378796,0.03755555587660257,0.027593181673223777,0.0007238241365054198,1381.5380804829495,0.9999953040664371,True,0.19017709999752697,fixed,1
0.01,1000,1000,1086,2764,39.29088277858177,0.00997668905758941,0.002748815608947357,-0.007227873448642052,0.0007238241365054198,1381.550092478072,0.9999996513634009,True,0.7281237000024703,fixed,1
0.01,1000,3000,1284,2975,43.15966386554622,0.009990184080065608,-0.013297849413702783,-0.02328803349376839,0.0007238241365054198,1381.5505296816307,0.9999998095926876,True,1.7370773000002373,fixed,1
