problem,epsilon,seed,mu_mode,iteration,stage,mu,gap,objective_value,dual_value
matrix_game,0.01,0,fixed_mu,0,1,0.0008766112701907305,1.048286007959793,0.055681977592996826,-0.9926040303667962
matrix_game,0.01,0,fixed_mu,1,1,0.0008766112701907305,1.0474170512248846,0.054813020858088465,-0.9926040303667962
matrix_game,0.01,0,fixed_mu,100,1,0.0008766112701907305,0.27093986470047376,0.019051602657370877,-0.2518882620431029
matrix_game,0.01,0,fixed_mu,200,1,0.0008766112701907305,0.12710849639567937,0.006692607740657478,-0.1204158886550219
matrix_game,0.01,0,fixed_mu,300,1,0.0008766112701907305,0.0974562895662051,-0.0023376050790171916,-0.09979389464522229
matrix_game,0.01,0,fixed_mu,400,1,0.0008766112701907305,0.0648584998847369,-0.009673739979041172,-0.07453223986377806
matrix_game,0.01,0,fixed_mu,500,1,0.0008766112701907305,0.046377666355039024,-0.015791850780160134,-0.06216951713519916
matrix_game,0.01,0,fixed_mu,600,1,0.0008766112701907305,0.03371520437664476,-0.02047885936513464,-0.0541940637417794
matrix_game,0.01,0,fixed_mu,700,1,0.0008766112701907305,0.025785900770344,-0.024044741798250228,-0.04983064256859423
matrix_game,0.01,0,fixed_mu,800,1,0.0008766112701907305,0.020011932462085946,-0.026512086421265044,-0.04652401888335099
matrix_game,0.01,0,fixed_mu,900,1,0.0008766112701907305,0.015992072270716178,-0.02843647926277344,-0.04442855153348962
matrix_game,0.01,0,fixed_mu,1000,1,0.0008766112701907305,0.01288412921058341,-0.029796243795458633,-0.04268037300604204
matrix_game,0.01,0,fixed_mu,1100,1,0.0008766112701907305,0.01079783233958416,-0.030945022069370796,-0.041742854408954956
matrix_game,0.01,0,fixed_mu,1140,1,0.0008766112701907305,0.009969745237836405,-0.0313251495084643,-0.04129489474630071
matrix_game,0.01,0,continuation_mu,0,1,0.007012890161525844,0.6133236533786859,0.055681977592996826,-0.557641675785689
matrix_game,0.01,0,continuation_mu,1,1,0.007012890161525844,0.6096009711719409,0.05195929538625183,-0.557641675785689
matrix_game,0.01,0,continuation_mu,100,1,0.007012890161525844,0.09054960866885,0.0029491654448552352,-0.08760044322399477
matrix_game,0.01,0,continuation_mu,200,1,0.007012890161525844,0.04564127621636741,-0.014516802797104556,-0.06015807901347197
matrix_game,0.01,0,continuation_mu,216,1,0.007012890161525844,0.03998845652935205,-0.01680601846355561,-0.056794474992907656
matrix_game,0.01,0,continuation_mu,217,2,0.003506445080762922,0.07627253298308262,-0.017046669138023468,-0.09331920212110609
matrix_game,0.01,0,continuation_mu,300,2,0.003506445080762922,0.1544898196135697,0.010227178404911521,-0.14426264120865817
matrix_game,0.01,0,continuation_mu,400,2,0.003506445080762922,0.07569616516874031,-0.004770911605273759,-0.08046707677401407
