epsilon,m,n,radius,iterations,predicted_iterations,percent_of_predicted,objective_value,dual_value,gap,mu,lipschitz,operator_norm,converged,elapsed_seconds,mu_mode,stages
0.01,100,50,1.0,1793,3000,59.766666666666666,0.6196396432502969,0.6096511126457895,0.009988530604507329,0.0009436958290887742,22493.485466549184,4.607277766366103,True,0.059251799997582566,fixed,1
0.01,100,200,1.0,3018,5729,52.67935067201955,0.00792693270109801,-0.0020135721105814623,0.009940504811679473,0.0009436958290887742,82029.62969310775,8.798353221091004,True,0.12548180000158027,fixed,1
0.01,300,50,1.0,1773,3445,51.46589259796807,0.8541703175924327,0.8441779071639727,0.009992410428459997,0.0007816249778396312,29665.108363675656,4.815287080472798,True,0.10350690000268514,fixed,1
0.01,300,200,1.0,3788,6278,60.337687161516406,0.5170496783863705,0.5070514100625698,0.009998268323800685,0.0007816249778396312,98505.21694732746,8.774630363356788,True,0.3698039000009885,fixed,1
0.001,100,50,1.0,16673,31089,53.62990125124642,0.5210965525486617,0.520096673213627,0.000999879335034759,9.436958290887742e-05,241623.63070280713,4.775135731092106,True,0.5576298000014503,fixed,1
0.001,100,200,1.0,13649,57091,23.90744600725158,8.398406843260209e-05,-0.0009155256857457713,0.0009995097541783734,9.436958290887742e-05,814819.4777442464,8.7689323330012,True,0.5024018000003707,fixed,1
0.001,300,50,1.0,16135,33286,48.47383284263655,0.8773290057956504,0.876329033174333,0.0009999726213174576,7.816249778396313e-05,276988.8550311662,4.652971176308318,True,0.804492899998877,fixed,1
0.001,300,200,1.0,33671,63503,53.02269184133033,0.45594323646136936,0.4549432836517624,0.0009999528096069632,7.816249778396313e-05,1008131.2928077279,8.87682713248534,True,3.165435399998387,fixed,1
0.0001,100,50,1.0,152449,308665,49.38979152155249,0.6030155888625621,0.6029155891922594,9.99996703027195e-05,9.436958290887743e-06,2381850.4124647896,4.741036067945907,True,6.287332599997171,fixed,1
0.0001,100,200,1.0,116635,572753,20.363926509332995,2.1576996085181932e-05,-7.840791580800838e-05,9.998491189319031e-05,9.436958290887743e-06,8201147.371714397,8.797379478247622,True,4.5311527000012575,fixed,1
0.0001,300,50,1.0,167001,337030,49.550781829510726,0.8598693204943562,0.8597693211245272,9.999936982896251e-05,7.816249778396313e-06,2839730.095475081,4.711267316706031,True,8.757317299998249,fixed,1
0.0001,300,200,1.0,249861,625515,39.94484544735138,0.5294886579353107,0.5293886596751596,9.999826015116842e-05,7.816249778396313e-06,9781703.480296949,8.743925757931015,True,22.820733000000473,fixed,1
