problem,epsilon,mu_mode,mean_iterations,std_iterations,mean_gap,max_gap,mean_stages,converged_all,mean_elapsed_seconds
continuous_location,0.0001,continuation_mu,379812.6,37174.23867142406,9.999934830773327e-05,9.999983287656278e-05,3.0,True,70.22032962000303
continuous_location,0.0001,fixed_mu,306629.8,29498.46275147232,9.999819621242523e-05,9.999964882467793e-05,1.0,True,56.68043997999994
continuous_location,0.001,continuation_mu,37330.2,10378.03742043745,0.0009999009643777868,0.0009999849556479035,3.0,True,6.883576219999668
continuous_location,0.001,fixed_mu,30237.0,8283.440016080276,0.0009999009341825627,0.0009999975352528168,1.0,True,5.576361820001329
continuous_location,0.01,continuation_mu,2923.0,1247.4197368969276,0.009840734554482112,0.009996681187953271,3.0,True,0.5427033399988431
continuous_location,0.01,fixed_mu,3240.2,483.64108593046564,0.009993790178529593,0.009999027109607539,1.0,True,0.6002557999992859
matrix_game,0.0001,continuation_mu,115058.6,2312.6287639826674,9.996572833881056e-05,9.997405625595396e-05,3.0,True,471.66887177999814
matrix_game,0.0001,fixed_mu,88760.2,1864.124647119929,9.997917364485964e-05,9.999600847613449e-05,1.0,True,357.02683674000036
matrix_game,0.001,continuation_mu,12852.8,416.60856928296613,0.0009991386175057597,0.0009997782597474386,3.0,True,24.866267259999585
matrix_game,0.001,fixed_mu,9997.2,326.8771940652942,0.0009997507420872354,0.0009999585959913765,1.0,True,18.673668439999894
matrix_game,0.01,continuation_mu,1466.2,29.77750829065454,0.009979296250308332,0.009993855704181608,3.0,True,1.0088599799993971
matrix_game,0.01,fixed_mu,1126.4,30.56632133574467,0.009978938777445306,0.009998797806052936,1.0,True,0.685752919999868
piecewise_linear_max_abs,0.0001,continuation_mu,331091.6,26995.381277174063,9.999820077920552e-05,9.999968821661209e-05,3.0,True,26.41799783999959
piecewise_linear_max_abs,0.0001,fixed_mu,260380.2,18927.38640700295,9.999898889901937e-05,9.999999291843142e-05,1.0,True,21.13211083999995
piecewise_linear_max_abs,0.001,continuation_mu,44448.2,536.4440324954692,0.0009999630123496805,0.0009999886512223055,3.0,True,3.657432279999193
piecewise_linear_max_abs,0.001,fixed_mu,34493.2,385.07492777380355,0.000999968846292798,0.000999997463345892,1.0,True,2.840961619999871
piecewise_linear_max_abs,0.01,continuation_mu,5059.2,68.72190334965993,0.009997436510933122,0.00999957379332761,3.0,True,0.39222682000036
piecewise_linear_max_abs,0.01,fixed_mu,3789.6,81.62597625756153,0.009995945565004938,0.009999563023364577,1.0,True,0.3232054599997355
sum_absolute,0.0001,continuation_mu,1679708.4,193437.42768218357,9.999993974361133e-05,9.999998367504759e-05,3.0,True,90.73106184000062
sum_absolute,0.0001,fixed_mu,1297688.8,147249.79467455973,9.999992591076534e-05,9.999999765852863e-05,1.0,True,68.45169037999877
sum_absolute,0.001,continuation_mu,150865.8,7829.069593508541,0.000999992391308524,0.0009999962328350875,3.0,True,7.9375347999986845
sum_absolute,0.001,fixed_mu,115689.6,6887.440838221407,0.0009999945491756534,0.000999999228923798,1.0,True,6.068320659999881
sum_absolute,0.01,continuation_mu,18853.0,2014.6538164161107,0.00999909403511765,0.009999857432106296,3.0,True,0.9882873000016843
sum_absolute,0.01,fixed_mu,14447.6,1536.1208611303994,0.009999523613942074,0.009999860412406747,1.0,True,0.7577703199996904
