problem,epsilon,seed,fixed_iterations,continuation_iterations,iteration_speedup,fixed_gap,continuation_gap,fixed_elapsed_seconds,continuation_elapsed_seconds,runtime_speedup
continuous_location,0.0001,0,298192,369330,0.8073863482522405,9.999733199350658e-05,9.999921838499404e-05,56.83233439999822,70.27926650000154,0.8086643078438642
continuous_location,0.0001,1,323925,400924,0.8079461444064212,9.999660167636648e-05,9.999962447437838e-05,59.42560040000171,73.63101690000622,0.8070729279850092
continuous_location,0.0001,2,324680,403032,0.8055936005081482,9.999948588301777e-05,9.999983287656278e-05,59.55232479999904,73.92671000000337,0.8055589759100105
continuous_location,0.0001,3,327979,406821,0.8061997782808655,9.999791268455738e-05,9.99995869506165e-05,60.16106900000159,74.7010732000017,0.8053574925078884
continuous_location,0.0001,4,258373,318956,0.810058440662662,9.999964882467793e-05,9.999847885211466e-05,47.430871299999126,58.56358150000233,0.8099038700356337
continuous_location,0.001,0,18999,23348,0.8137313688538633,0.0009998985707682095,0.0009998797656507463,3.617990100003226,4.442515900002036,0.8144011594874805
continuous_location,0.001,1,36752,45595,0.806053295317469,0.0009999415628172414,0.0009999849556479035,6.747047400000156,8.376831499997934,0.8054414607721093
continuous_location,0.001,2,34243,42493,0.805850375355941,0.0009998651914813195,0.0009999720115843047,6.289431400000467,7.803369199995359,0.8059892129676766
continuous_location,0.001,3,37282,45980,0.8108307959982601,0.0009999975352528168,0.0009999702488485696,6.838685500002612,8.420911499997601,0.8121075135399012
continuous_location,0.001,4,23909,29235,0.817821104840089,0.000999801810593226,0.0009996978401574097,4.388654700000188,5.37425300000541,0.8166073871095705
continuous_location,0.01,0,3705,3296,1.1240898058252426,0.009996126431424557,0.009996681187953271,0.7061758999989252,0.6265673999987484,1.1270549664734164
continuous_location,0.01,1,2442,1364,1.7903225806451613,0.009999027109607539,0.009337465004044532,0.44860520000293036,0.2515601999948558,1.783291633621312
continuous_location,0.01,2,3525,1861,1.894142933906502,0.009990651568912767,0.009892005720665509,0.6484512999995786,0.34135910000259173,1.8996162691858964
continuous_location,0.01,3,3255,4050,0.8037037037037037,0.009992405192051024,0.009989412723172109,0.5946874999972351,0.7462635999982012,0.7968866497021543
continuous_location,0.01,4,3274,4044,0.8095944609297725,0.00999074059065208,0.009988108136575136,0.6033590999977605,0.7477663999998185,0.8068818015865743
matrix_game,0.0001,0,86363,112314,0.7689424292608223,9.994793231872523e-05,9.994284450096785e-05,340.7496209000001,450.9906635999978,0.7555580378981526
matrix_game,0.0001,1,89312,116280,0.768077055383557,9.999192683401992e-05,9.997405625595396e-05,360.13223389999985,479.4169804000012,0.7511878982666066
matrix_game,0.0001,2,91480,118310,0.7732228890203702,9.999600847613449e-05,9.997108521100223e-05,375.7923918000015,494.7265600999963,0.7595961529214132
matrix_game,0.0001,3,88509,114584,0.772437687635272,9.996979963395464e-05,9.996912368621935e-05,360.99855260000186,476.96717359999457,0.756862468910179
matrix_game,0.0001,4,88137,113805,0.7744563068406485,9.999020096146394e-05,9.997153203990944e-05,347.46138449999853,456.24298120000094,0.7615709146606765
matrix_game,0.001,0,9976,12760,0.7818181818181819,0.000999944056587862,0.0009991646074050606,19.515534999998636,25.852342899999712,0.7548845795325906
matrix_game,0.001,1,10200,13220,0.7715582450832073,0.0009994145456453385,0.000999715171212126,19.56435750000128,26.396280999999362,0.7411785584492661
matrix_game,0.001,2,9833,12633,0.7783582680281802,0.0009998014999456142,0.0009997782597474386,17.913937799999985,23.952870399998574,0.7478827172212752
matrix_game,0.001,3,10412,13326,0.7813297313522437,0.0009996350122659856,0.00099781565119577,19.81469449999895,26.021017699998993,0.7614880681626729
matrix_game,0.001,4,9565,12325,0.7760649087221095,0.0009999585959913765,0.0009992193979684039,16.55981740000061,22.108824300001288,0.7490139310573672
matrix_game,0.01,0,1140,1483,0.7687120701281187,0.009969745237836405,0.00996461002426368,0.7318006999994395,1.059413199996925,0.6907604134076899
matrix_game,0.01,1,1152,1497,0.7695390781563126,0.009963046893874991,0.009972295671251203,0.7501687000003585,1.0870837000002211,0.6900744625277758
matrix_game,0.01,2,1147,1475,0.7776271186440677,0.009966395552195952,0.009993855704181608,0.6567629000001034,0.9399321000018972,0.6987344085799152
matrix_game,0.01,3,1115,1456,0.7657967032967034,0.009998797806052936,0.009974060856076748,0.6863262999995641,1.0271330999985366,0.668196069234398
matrix_game,0.01,4,1078,1420,0.7591549295774648,0.009996708397266248,0.009991658995768413,0.6037059999998746,0.930737799999406,0.6486316554460987
piecewise_linear_max_abs,0.0001,0,292712,377560,0.7752728043224918,9.99991733585115e-05,9.999968821661209e-05,25.15816420000192,32.56452569999965,0.7725635076577269
piecewise_linear_max_abs,0.0001,1,252666,319169,0.791637032418562,9.99981157812635e-05,9.999738583094109e-05,21.793972100000246,24.373034199994436,0.8941837902153857
piecewise_linear_max_abs,0.0001,2,253505,321169,0.7893196416839733,9.999999291843142e-05,9.999708315810985e-05,19.14845720000085,24.651117900000827,0.7767784519013722
piecewise_linear_max_abs,0.0001,3,259366,329074,0.7881692263746148,9.999981628566745e-05,9.999777394686937e-05,20.291220600000088,26.144086100001005,0.7761304228568658
piecewise_linear_max_abs,0.0001,4,243652,308486,0.7898316293121892,9.999784615122298e-05,9.999907274349518e-05,19.26874009999665,24.35722530000203,0.791089291274694
piecewise_linear_max_abs,0.001,0,34692,44416,0.7810698847262247,0.0009999587408643928,0.0009999513800696413,3.3308672000021033,4.295850700000301,0.7753684735835605
piecewise_linear_max_abs,0.001,1,35019,45116,0.7761991311286461,0.0009999606396142724,0.0009999260105958419,3.052374199996848,3.902742999998736,0.7821099672711824
piecewise_linear_max_abs,0.001,2,34506,44802,0.7701888308557654,0.000999984945385779,0.000999973964257106,2.622694199999387,3.398613100001967,0.7716954307031504
piecewise_linear_max_abs,0.001,3,34074,44165,0.7715159062606136,0.000999997463345892,0.0009999886512223055,2.592483100001118,3.370497499996418,0.7691692695229334
piecewise_linear_max_abs,0.001,4,34175,43742,0.7812857208175209,0.000999942442253654,0.000999975055603508,2.606389399999898,3.3194570999985444,0.7851854449334624
piecewise_linear_max_abs,0.01,0,3832,5110,0.7499021526418786,0.009994616200295292,0.00999790187872912,0.3775363999993715,0.44565549999606446,0.8471485261658511
piecewise_linear_max_abs,0.01,1,3776,5050,0.7477227722772277,0.009999563023364577,0.0099958921611345,0.30873150000115857,0.37884710000435007,0.8149237515546868
piecewise_linear_max_abs,0.01,2,3906,5147,0.7588886730134059,0.009996959826385154,0.009997707817899992,0.32178550000026007,0.389421100000618,0.8263175775522934
piecewise_linear_max_abs,0.01,3,3700,5003,0.7395562662402558,0.009991932154079508,0.009996106903574387,0.30294359999970766,0.37443100000018603,0.8090772398641062
piecewise_linear_max_abs,0.01,4,3734,4986,0.748896911351785,0.009996656620900157,0.00999957379332761,0.30503029999817954,0.3727794000005815,0.8182595390134318
sum_absolute,0.0001,0,1312694,1718016,0.764075538295336,9.999992212783582e-05,9.999990469111708e-05,72.08335029999944,105.42000049999842,0.6837730028278696
sum_absolute,0.0001,1,1419076,1828131,0.7762441531815827,9.999999765852863e-05,9.999990803066794e-05,75.58002669999769,97.50175909999962,0.7751657754449477
sum_absolute,0.0001,2,1406478,1829638,0.7687192767093819,9.999992934695001e-05,9.999998367504759e-05,75.35452239999722,96.91656290000174,0.7775195502728242
sum_absolute,0.0001,3,1052873,1358038,0.7752897930691188,9.99999020478981e-05,9.999995154430508e-05,50.884039600001415,65.85397749999902,0.7726798218073035
