problem,epsilon,inverse_epsilon,log_inverse_epsilon,mean_iterations,std_iterations,mean_runtime,mean_gap,max_gap
matrix_game,0.1,10.0,2.302585092994046,79.2,8.438009243891594,0.020152139999663633,0.09920990945296307,0.09969262949864417
matrix_game,0.05,20.0,2.995732273553991,213.0,5.70087712549569,0.06254686000011134,0.04981955495911216,0.04997335410070018
matrix_game,0.01,100.0,4.605170185988092,1097.2,12.517987058628874,0.62926152,0.009987173010536254,0.009995882787557697
matrix_game,0.005,200.0,5.298317366548036,2141.4,35.851080876313894,1.7986002199999347,0.004996516368805836,0.004999974378549276
matrix_game,0.001,1000.0,6.907755278982137,9805.8,212.18317558185427,17.51427506,0.0009996111348057751,0.0009999731559123398
matrix_game,0.0005,2000.0,7.600902459542082,18633.6,513.5389955981922,43.85295556000019,0.0004998326436931142,0.0004999980726582559
matrix_game,0.0001,10000.0,9.210340371976184,82064.0,2621.884818217612,308.90525129999986,9.997493127500007e-05,9.998067244776365e-05
continuous_location,0.1,10.0,2.302585092994046,336.6,18.256505689753446,0.062395319999632194,0.09948482921580606,0.09993730606351647
continuous_location,0.05,20.0,2.995732273553991,662.2,37.22499160510315,0.12540075999950204,0.04987957443429636,0.0499661110195504
continuous_location,0.01,100.0,4.605170185988092,3337.8,300.0053332859268,0.6186503200000516,0.0099963716094706,0.009998827945551625
continuous_location,0.005,200.0,5.298317366548036,6633.0,609.1502277763672,1.2375766800001657,0.00499801825572348,0.004999343826170843
continuous_location,0.001,1000.0,6.907755278982137,33048.6,3084.65675562128,6.20353129999985,0.000999917933248895,0.0009999625330330275
continuous_location,0.0005,2000.0,7.600902459542082,66469.4,5901.687241797891,12.442200440000487,0.0004999823918019786,0.0004999998780306214
continuous_location,0.0001,10000.0,9.210340371976184,332524.2,29667.65782295596,61.896920360000514,9.999920132131024e-05,9.999988473552435e-05
piecewise_linear_max_abs,0.1,10.0,2.302585092994046,445.2,5.93295878967653,0.034677319999900647,0.09931625096818603,0.09996896580631554
piecewise_linear_max_abs,0.05,20.0,2.995732273553991,841.2,5.263078946776307,0.06553070000009029,0.04982533535262805,0.04991849462771236
piecewise_linear_max_abs,0.01,100.0,4.605170185988092,3830.4,22.4788789756073,0.3302570400002878,0.009998224906695241,0.009999987141842581
piecewise_linear_max_abs,0.005,200.0,5.298317366548036,7453.2,24.631280924872748,0.65000629999995,0.004999138213827159,0.004999849639810927
piecewise_linear_max_abs,0.001,1000.0,6.907755278982137,34107.0,357.3345771122632,2.9808413600003405,0.0009999771646697964,0.0009999956233143759
piecewise_linear_max_abs,0.0005,2000.0,7.600902459542082,63575.4,1016.0894645650056,5.556899940000221,0.0004999937703012325,0.0004999992676105736
piecewise_linear_max_abs,0.0001,10000.0,9.210340371976184,240017.2,9057.59491807842,21.125840099999913,9.99991602652961e-05,9.999996494358676e-05
sum_absolute,0.1,10.0,2.302585092994046,1561.6,89.13360757873542,0.08543264000036288,0.09969016710894892,0.09996174014503367
sum_absolute,0.05,20.0,2.995732273553991,2813.2,286.48071488321864,0.1461652199999662,0.049984730709735456,0.04999937614344674
sum_absolute,0.01,100.0,4.605170185988092,12791.2,1781.7179069650729,0.6629160999997111,0.009999504133875802,0.009999932272535261
sum_absolute,0.005,200.0,5.298317366548036,25047.8,3829.9146465685108,1.3036324600001534,0.004999772029762539,0.00499988785922767
sum_absolute,0.001,1000.0,6.907755278982137,122206.4,19729.874677757078,6.36215505999935,0.0009999957749641907,0.0009999990355993305
sum_absolute,0.0005,2000.0,7.600902459542082,242824.2,40122.28698242412,12.58769054000004,0.0004999989038424246,0.0004999997646848442
sum_absolute,0.0001,10000.0,9.210340371976184,1207463.8,201485.39677529983,63.099613819999284,9.999993650922079e-05,9.999999278420546e-05
