problem,seed,epsilon,inverse_epsilon,log_inverse_epsilon,iterations,predicted_iterations,elapsed_seconds,gap,converged
matrix_game,0,0.1,10.0,2.302585092994046,73,252,0.01886359999934939,0.09969262949864417,True
matrix_game,0,0.05,20.0,2.995732273553991,208,503,0.05838880000010249,0.049633209656097625,True
matrix_game,0,0.01,100.0,4.605170185988092,1097,2511,0.5828757999997833,0.009984884927677153,True
matrix_game,0,0.005,200.0,5.298317366548036,2117,5022,1.6084137999996528,0.004999974378549276,True
matrix_game,0,0.001,1000.0,6.907755278982137,9577,25108,15.597654500000317,0.0009998835666809244,True
matrix_game,0,0.0005,2000.0,7.600902459542082,18014,50216,38.888552500000515,0.0004999980726582559,True
matrix_game,0,0.0001,10000.0,9.210340371976184,78969,251079,276.01019780000024,9.998052342476138e-05,True
matrix_game,1,0.1,10.0,2.302585092994046,79,252,0.0208822999993572,0.09928566682930669,True
matrix_game,1,0.05,20.0,2.995732273553991,221,503,0.0646974000001137,0.04974167780863617,True
matrix_game,1,0.01,100.0,4.605170185988092,1104,2511,0.6442118999993909,0.009995882787557697,True
matrix_game,1,0.005,200.0,5.298317366548036,2200,5022,1.9667657999998482,0.004997500524062767,True
matrix_game,1,0.001,1000.0,6.907755278982137,10139,25108,19.15692339999987,0.0009995222370766527,True
matrix_game,1,0.0005,2000.0,7.600902459542082,19400,50216,47.175306699999965,0.0004999613302330633,True
matrix_game,1,0.0001,10000.0,9.210340371976184,85355,251079,325.8783988999994,9.99796535531075e-05,True
matrix_game,2,0.1,10.0,2.302585092994046,89,252,0.022310800000013842,0.09866005329142326,True
matrix_game,2,0.05,20.0,2.995732273553991,217,503,0.06354230000033567,0.04988838330003394,True
matrix_game,2,0.01,100.0,4.605170185988092,1114,2511,0.6796121000006679,0.009980454448456116,True
matrix_game,2,0.005,200.0,5.298317366548036,2125,5022,1.8344473999995898,0.004998248768464948,True
matrix_game,2,0.001,1000.0,6.907755278982137,9856,25108,18.25350669999989,0.0009993406261861945,True
matrix_game,2,0.0005,2000.0,7.600902459542082,18805,50216,45.66080850000071,0.0004997361509472137,True
matrix_game,2,0.0001,10000.0,9.210340371976184,84041,251079,333.67672930000026,9.998067244776365e-05,True
matrix_game,3,0.1,10.0,2.302585092994046,86,252,0.02164219999940542,0.09909303119012532,True
matrix_game,3,0.05,20.0,2.995732273553991,210,503,0.06096679999973276,0.04997335410070018,True
