problem,p_hat,standard_error,p_value,ci_lower_95,ci_upper_95
matrix_game,0.989663292765572,0.009564579006413398,0.2798181755748882,0.9709167179130017,1.0084098676181423
continuous_location,0.9986061936472,0.005435205805560008,0.7976107955460394,0.9879531902683024,1.0092591970260976
piecewise_linear_max_abs,0.9208034008878218,0.004223424961663578,1.8733250480488363e-78,0.9125254879629612,0.9290813138126823
sum_absolute,0.9649255230922585,0.009612790225417101,0.0002635398109197888,0.9460844542504411,0.983766591934076
